fetched_at_utc,country,state,city,station,last_update,latitude,longitude,CO,NO2,OZONE,PM10,PM2.5,SO2
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.694528,77.494705,39.0,47.0,16.0,8.0,9.0,14.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.739153,77.273668,94.0,28.0,12.0,94.0,79.0,9.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Wave City, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.646675,77.489049,101.0,20.0,14.0,,,2.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.757294,77.278792,57.0,39.0,8.0,121.0,75.0,19.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.6603346,77.3572563,46.0,30.0,32.0,125.0,92.0,15.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Noida,"Sector - 125, Noida - UPPCB",19-09-2026 11:00:00,28.5447608,77.3231257,13.0,17.0,10.0,171.0,96.0,10.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",19-09-2026 11:00:00,28.5898,77.3101,66.0,30.0,37.0,115.0,68.0,4.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",19-09-2026 11:00:00,28.56923,77.393848,62.0,46.0,43.0,140.0,130.0,16.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-09-2026 11:00:00,28.699793,77.165453,62.0,58.0,8.0,158.0,82.0,12.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Narela, Delhi - DPCC",19-09-2026 11:00:00,28.822836,77.101981,39.0,26.0,,129.0,81.0,10.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-09-2026 11:00:00,28.611281,77.237738,63.0,47.0,7.0,81.0,33.0,35.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-09-2026 11:00:00,28.7762,77.051074,42.0,14.0,16.0,100.0,102.0,25.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-09-2026 11:00:00,28.639652,77.146275,91.0,46.0,17.0,119.0,75.0,14.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-09-2026 11:00:00,28.656756,77.227234,64.0,36.0,25.0,106.0,104.0,11.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",19-09-2026 11:00:00,28.5627763,77.1180053,40.0,45.0,48.0,104.0,58.0,
2026-09-19T06:30:13+00:00,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",19-09-2026 11:00:00,28.39072,77.30059,,25.0,14.0,155.0,65.0,7.0
2026-09-19T06:30:13+00:00,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",19-09-2026 11:00:00,28.422681,77.148944,,24.0,17.0,112.0,82.0,
2026-09-19T06:30:13+00:00,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",19-09-2026 11:00:00,28.4227,77.0667,18.0,26.0,23.0,97.0,115.0,8.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-09-2026 11:00:00,28.815329,77.15301,40.0,48.0,7.0,109.0,82.0,7.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",19-09-2026 11:00:00,28.647622,77.315809,90.0,20.0,20.0,99.0,105.0,37.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"DTU, Delhi - CPCB",19-09-2026 11:00:00,28.7500499,77.1112615,26.0,25.0,9.0,101.0,86.0,35.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-09-2026 11:00:00,28.5710274,77.0719006,12.0,28.0,16.0,122.0,56.0,9.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-09-2026 11:00:00,28.498571,77.26484,44.0,40.0,13.0,109.0,52.0,8.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",19-09-2026 11:00:00,28.6811736,77.3025234,37.0,50.0,9.0,76.0,98.0,10.0
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-09-2026 11:00:00,28.531346,77.190156,49.0,16.0,9.0,96.0,55.0,6.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",19-09-2026 11:00:00,28.685382,77.453839,37.0,25.0,29.0,115.0,59.0,10.0
2026-09-19T06:30:13+00:00,India,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",19-09-2026 11:00:00,28.6245479,77.3577104,29.0,4.0,18.0,105.0,93.0,
2026-09-19T06:30:13+00:00,India,Delhi,Delhi,"R K Puram, Delhi - DPCC",19-09-2026 11:00:00,28.563262,77.186937,51.0,48.0,15.0,134.0,77.0,27.0
